序号,网页名字,网址,网页介绍,标签1,标签2,标签3,标签4,一级分类,二级分类
83,Semantic Scholar,https://www.semanticscholar.org/,AI驱动的免费学术搜索引擎，覆盖2亿+学术论文的智能检索,AI学术搜索,免费论文,智能检索,,教育资源汇总,学术科研
84,Z-Library电子书,https://zh.ddd101.ru/,全球最大电子书图书馆，免费访问数百万册电子书资源,电子书,免费图书馆,海量资源,,教育资源汇总,电子书资源
85,鸠摩搜索,https://www.jiumodiary.com/,文档与电子书搜索引擎，聚合多平台电子书资源一键搜索,电子书搜索,文档搜索,聚合引擎,,教育资源汇总,电子书资源
86,读书派,https://www.dushupai.com/,提供epub/azw3/mobi/pdf等多格式电子书免费下载服务,epub下载,多格式,电子书,,教育资源汇总,电子书资源
87,中国哲学书数字化,https://ctext.org/zhs,中国哲学典籍电子化计划，提供中国历史典籍的在线阅读,哲学典籍,中华文化,在线阅读,,教育资源汇总,电子书资源
88,牛客网面试题库,https://www.nowcoder.com/exam/company,提供各大公司笔试面试真题模拟题库，程序员求职必备平台,面试题库,笔试真题,求职备考,,教育资源汇总,题库考试
89,雅思在线测试,https://ieltsonlinetests.com/zh-hans/ielts-exam-library,雅思真题免费在线测试平台，含完整题目与详细答案解析,雅思备考,真题练习,免费测试,,教育资源汇总,题库考试
90,快打字在线练习,https://www.kuaidazi.cn/,专业在线打字课程与练习平台，帮助提升中英文打字速度,打字练习,速度提升,在线课程,,教育资源汇总,在线练习
91,在线钢琴模拟器,https://pianoonline.cc/,免费学习钢琴的在线模拟器，支持88键全键盘练习,钢琴学习,在线模拟器,音乐教育,,教育资源汇总,在线练习
92,编程运营夸克资料,https://pan.quark.cn/s/4d37afe977d6#/list/share,夸克网盘持续更新的编程开发/电商运营/自媒体运营学习资料库,学习资料,夸克网盘,持续更新,,教育资源汇总,网盘学习资料
93,考研考公题库资料,https://pan.quark.cn/s/aa03bb3e3bd0#/list/share,夸克网盘持续更新的考研/考公/考试/考证题库与资料库,考研资料,考公备考,题库资料,,教育资源汇总,网盘学习资料
94,PPT库模板,https://pptku.org/,海量免费高品质PPT模板下载，覆盖各行业课件资源,PPT模板,免费下载,课件资源,,设计素材模板,PPT模板
95,第一PPT,https://m.1ppt.com/,知名PPT模板下载网站，精美PPT模板免费下载与分享,PPT模板,免费下载,精美设计,,设计素材模板,PPT模板
96,优品PPT,https://www.ypppt.com/,精美免费PPT模板下载平台，提供高质量幻灯片设计模板,PPT模板,高质量,免费下载,,设计素材模板,PPT模板
97,飞职AI简历,https://www.jianliai.com/,AI驱动的在线简历生成工具，智能生成专业求职简历,AI简历,在线生成,求职工具,,设计素材模板,简历模板
98,魔方简历,https://magicv.art/zh,AI驱动的简历编辑器，提供专业简历设计与智能优化功能,AI简历,简历编辑,专业设计,,设计素材模板,简历模板
99,极简简历,https://www.polebrief.com/index,极简设计风格的在线简历制作工具，清爽专业的求职利器,极简简历,在线制作,专业设计,,设计素材模板,简历模板
100,3D图标库,https://www.ai-suguan.com/,数千个高质量3D图标的大型图标库，AI生成的精品3D素材,3D图标,高质量素材,图标下载,,设计素材模板,图标图片
101,矢量图标免费下载,https://igoutu.cn/icons/,150万+免费矢量图标下载，支持SVG和PNG格式,矢量图标,SVG下载,免费素材,,设计素材模板,图标图片
102,unDraw插画,https://undraw.co/illustrations,免费可商用SVG插画库，支持在线修改颜色，风格统一优雅,SVG插画,可商用,免费素材,,设计素材模板,图标图片
103,麦田艺术油画,https://www.nbfox.com/,收录世界名画的高清无水印艺术网站，世界名画免费下载,世界名画,艺术素材,免费下载,,设计素材模板,图标图片
104,AI可商用图片,https://gyo.one/image,免费可商用AI图片素材站，无需注册即可无限制下载使用,AI图片,可商用,免费下载,,设计素材模板,图标图片
105,字体库免费商用,https://zitiku.org/,1000+中英文免费商用字体资源下载，高品质字体一站汇集,免费商用字体,中文字体,字体下载,,设计素材模板,字体资源
106,ZeoSeven字体,https://fonts.zeoseven.com/,免费商用字体和开源字体的WebFonts API和下载站,开源字体,WebFonts,免费商用,,设计素材模板,字体资源
107,字体天下,https://m.fonts.net.cn/,提供各类字体免费下载和在线预览服务的综合字体平台,字体下载,在线预览,综合平台,,设计素材模板,字体资源
108,SVGL图标下载,https://svgl.app/,在线免费SVG logo下载库，收录各大知名品牌的矢量LOGO,SVG logo,品牌图标,矢量下载,,设计素材模板,Logo素材
109,LogoCook制作,https://www.logocook.shop/,免费可爱Logo在线制作工具，轻松生成专属个性化Logo,Logo制作,在线工具,免费生成,,设计素材模板,Logo素材
110,FindSounds音效,https://www.findsounds.com/typesChinese.html,100万+种免费音效和声音采样，无需注册即可下载使用,音效下载,免费声音,素材库,,设计素材模板,音效素材
111,淘声音效库,https://www.tosound.com/,声音搜索引擎，提供免费音效素材和视频游戏配乐下载,音效搜索,免费配乐,声音素材,,设计素材模板,音效素材
112,爱给网素材,https://m.aigei.com/,提供音效配乐、3D模型、视频素材等多媒体素材的免费下载平台,多媒体素材,音效3D,免费下载,,设计素材模板,音效素材
113,PR模板下载,https://www.lookae.com/prmoban/,Premiere Pro模板免费下载，含mogrt预设与工程文件,PR模板,Premiere,视频模板,,设计素材模板,视频素材
114,AE模板LookAE,https://www.lookae.com/after-effects/other-after-effects/,After Effects模板免费下载，专业AE工程文件与预设资源,AE模板,After Effects,视频特效,,设计素材模板,视频素材
115,夸克万套PPT大合集,https://pan.quark.cn/s/6bc0088b16c4#/list/share,夸克网盘共享2万套PPT模板典藏大合集84GB，覆盖全行业场景,PPT合集,设计模板,海量资源,,设计素材模板,网盘设计资源
116,自媒体剪辑素材库,https://pan.quark.cn/s/219f51ce8e4d#/list/share,小红书热卖自媒体各行业剪辑素材合集，适合vlog日常创作,剪辑素材,自媒体,网盘资源,,设计素材模板,网盘设计资源
117,豆包AI助手,https://www.doubao.com/chat/,字节跳动旗下AI智能助手，支持多轮对话与创作辅助,AI对话,字节跳动,智能助手,,开源项目展示,AI工具
118,DeepL翻译,https://www.deepl.com/zh/translator,全球最准确的AI翻译器，支持31种语言的高质量翻译,AI翻译,高质量,多语言,,开源项目展示,AI工具
119,AI提示词库AiShort,https://www.aishort.top/,精选Prompt模板库，即刻提升AI效率的提示词分享平台,Prompt模板,AI提示词,效率提升,,开源项目展示,AI工具
120,AI图像生成免费,https://aiart.gcc.ac.cn/,免费在线AI绘画工具，无需注册即可生成高质量AI图像,AI绘画,免费生成,图像创作,,开源项目展示,AI工具
121,TTSMaker配音,https://ttsmaker.cn/,在线免费文字转语音平台，提供多种声音与语言的配音服务,文字转语音,TTS配音,免费使用,,开源项目展示,AI工具
122,Fogsight动画生成,https://fogsight.ai/,雾象AI将复杂概念转化为直观的动态HTML动画可视化工具,动画生成,概念可视化,AI教学,,开源项目展示,AI工具
123,AI TryAII对比,https://tryaii.com/,实时横向对比GPT、Gemini、Claude等主流AI大模型的测试平台,AI对比,大模型测试,横向评测,,开源项目展示,AI工具
124,MikuTools工具集,https://tools.miku.ac/,一站式在线工具合集，内置多种AI工具，无广告无需登录,工具箱,无广告,AI工具,,开源项目展示,在线工具箱
125,IT Tools开发工具,https://it-tools.tech/,免费且全面的开发人员在线工具集合，100+实用开发工具,开发工具,程序员工具,免费工具,,开源项目展示,在线工具箱
126,千盒在线工具,https://1000tool.com/,优质在线工具大全，汇聚各类实用网络工具一站式使用,在线工具,工具大全,一站式,,开源项目展示,在线工具箱
127,iLovePDF工具,https://www.ilovepdf.com/zh-cn,专业PDF在线处理工具集，提供压缩转换合并等全套PDF功能,PDF工具,在线处理,格式转换,,开源项目展示,在线工具箱
128,Excalidraw白板,https://excalidraw.com/,开源手绘风格在线白板工具，支持协作绘图与流程图创建,白板工具,开源,协作绘图,,开源项目展示,在线工具箱
129,GitMind思维导图,https://gitmind.cn/,AI思维导图与流程图制作软件，支持多人协作在线编辑,思维导图,AI辅助,协作工具,,开源项目展示,在线工具箱
130,Convertio格式转换,https://convertio.co/zh/,支持300种格式的在线文件转换器，图片视频文档音频均可转换,格式转换,300种格式,在线工具,,开源项目展示,在线工具箱
131,盘大师网盘搜索,https://www.pandashi8.com/,聚合网盘资源搜索引擎，支持夸克网盘等多云盘资源搜索,网盘搜索,聚合引擎,资源查找,,其他网站收藏,网盘搜索
132,猫狸阿里盘搜,https://www.alipansou.com/,阿里云盘资源搜索神器，快速找到阿里网盘共享内容,阿里云盘,网盘搜索,资源查找,,其他网站收藏,网盘搜索
133,混合盘搜索,https://hunhepan.com/search,同时搜索百度、夸克、阿里云盘资源的聚合网盘搜索站,多盘搜索,聚合搜索,网盘资源,,其他网站收藏,网盘搜索
134,磁力星球BT搜索,https://btstar.top/,磁力链接与BT种子搜索引擎，快速找到想要的资源,磁力搜索,BT种子,资源下载,,其他网站收藏,网盘搜索
135,历史价格查询,https://m.gwdang.com/trendIndex/,查询京东淘宝得物历史价格走势，帮助判断是否买到实惠,历史价格,购物参考,价格走势,,其他网站收藏,生活服务
136,全球日落时间,https://whattimeissunset.net/,全球各城市日落时间精准查询，摄影黄金时段与旅行必备工具,日落时间,摄影助手,旅行工具,,其他网站收藏,生活服务
137,城市租房生存指南,https://zufang.ababtools.com/,专为租房者设计的生存指南，覆盖看房签约维权全流程知识,租房指南,生活攻略,维权知识,,其他网站收藏,生活服务
138,2026个税计算器,https://geshui.designshidai.com/,2026年个人所得税计算工具，支持年度汇算清缴与退税预测,个税计算,退税预测,薪资工具,,其他网站收藏,生活服务
139,iFixit维修手册,https://zh.ifixit.com/Guide,针对所有物品的修理手册，从手机到家电的DIY维修指南,维修手册,DIY修理,实用教程,,其他网站收藏,生活服务
140,WikiHow万事指南,https://zh.wikihow.com/%E9%A6%96%E9%A1%B5,可信赖的万事指南，涵盖生活、技能、健康等全方位实用教程,万事指南,生活技能,实用教程,,其他网站收藏,生活服务
141,医保政策导航,https://yibao.233h.com/,医保报销全攻略平台，医保政策查询与报销流程一站导航,医保政策,报销攻略,医疗信息,,其他网站收藏,生活服务
142,哲风壁纸,https://haowallpaper.com/mobileView,免费高清手机壁纸平台，海量精美背景图片分类下载,手机壁纸,高清免费,精美图片,,其他网站收藏,壁纸美图
143,4K电脑壁纸,https://4kwallpapers.com/,提供超高清4K/8K宽屏电脑壁纸免费下载的专业壁纸站,4K壁纸,超高清,电脑壁纸,,其他网站收藏,壁纸美图
144,全景故宫,https://pano.dpm.org.cn/#/,故宫博物院官方全景虚拟游览，360°沉浸式在线参观故宫,故宫全景,虚拟游览,文化旅游,,其他网站收藏,壁纸美图
145,Sound Box白噪音,https://soundbox.fun/,专业白噪音生成器，含情境音效助眠放松等多种音景场景,白噪音,助眠放松,情境音效,,其他网站收藏,休闲娱乐
146,落耳助眠,https://loaer.com/,专注睡眠、专注与冥想的白噪音工具，含呼吸练习与放松功能,助眠工具,冥想放松,专注白噪音,,其他网站收藏,休闲娱乐
147,今日热榜聚合,https://hot.vvhan.com/,汇聚全网热点资讯的热榜聚合平台，实时追踪各平台热门内容,热点聚合,实时热榜,全网资讯,,其他网站收藏,新闻资讯
148,Kagi新闻简报,https://news.kagi.com/,将全球数千家新闻来源提炼成一份完美的每日新闻简报,新闻聚合,每日简报,全球资讯,,其他网站收藏,新闻资讯
149,有据事实核查,https://chinafactcheck.com/,专业国际新闻事实核查平台，辨别真假新闻的权威参考站,事实核查,辟谣平台,新闻鉴别,,其他网站收藏,新闻资讯
150,文叔叔临时网盘,https://www.wenshushu.cn/,免费临时文件传输工具，提供大文件跨设备快速分享服务,临时传输,文件分享,大文件,,其他网站收藏,实用工具
151,临时邮箱MinMail,https://minmail.app/cn,免费临时电子邮件服务，保护隐私避免垃圾邮件骚扰,临时邮箱,隐私保护,免注册,,其他网站收藏,实用工具
152,Zoom.Earth天气追踪,https://zoom.earth/,实时卫星地图与天气图，可追踪台风、气旋等极端天气事件,卫星地图,天气追踪,台风监测,,其他网站收藏,地图探索
153,全景航拍AirPano,https://airpano.org.cn/,360°全球航拍全景图库，虚拟游览世界各地最壮观的景色,航拍全景,360°游览,世界景色,,其他网站收藏,地图探索
154,全球实况摄像头,https://www.skylinewebcams.com/,全球高清实时摄像头直播平台，足不出户看遍全球各地实况,实况摄像,全球直播,实时查看,,其他网站收藏,地图探索
155,人生重开模拟器,https://liferestart.syaro.io/public/index.html,趣味人生重开模拟游戏，随机分配属性体验不同的人生轨迹,趣味游戏,人生模拟,随机互动,,其他网站收藏,趣味娱乐
156,16Personalities测试,https://www.16personalities.com/ch,MBTI人格类型免费测试，提供详细的人格描述与职业建议,MBTI,人格测试,职业建议,,其他网站收藏,趣味娱乐
157,宇宙的刻度,https://scaleofuniverse.com/en,从微观粒子到宏观星系的交互式可视化学习工具，探索宇宙尺度,宇宙探索,科学可视化,教育工具,,其他网站收藏,趣味娱乐
158,大海有多深,https://neal.fun/deep-sea/,交互式深海探索工具，展示海洋不同深度的生物与奇观,深海探索,科学教育,交互可视化,,其他网站收藏,趣味娱乐
159,哔哩哔哩下载器,https://savebilibili.com/zh-CN,在线免费B站视频下载器，无水印高清格式一键下载,B站下载,无水印,视频下载,,其他网站收藏,自媒体工具
160,多平台去水印,https://dy.kukutool.com/,免费不限次数多平台视频去水印解析工具，支持130+平台,去水印,视频解析,多平台支持,,其他网站收藏,自媒体工具
161,AnyToCopy文案提取,https://www.anytocopy.com/,免费在线视频文案提取工具，一键抖音文案提取，支持50+平台,文案提取,视频转文字,自媒体助手,,其他网站收藏,自媒体工具
162,公众号排版器,https://editor.huasheng.ai/,在线微信公众号内容排版工具，快速生成美观的图文排版,公众号排版,微信编辑,图文排版,,其他网站收藏,自媒体工具
163,Presearch去中心化搜索,https://presearch.com/,去中心化隐私搜索引擎，基于区块链技术，不追踪用户数据,隐私搜索,去中心化,区块链,,其他网站收藏,搜索引擎
